Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,02.01.2020,02.02.2020,02.03.2020,02.04.2020,02.05.2020,02.06.2020,02.07.2020,02.08.2020,02.09.2020,02.10.2020,02.11.2020,02.12.2020,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,03.01.2020,03.02.2020,03.03.2020,03.04.2020,03.05.2020,03.06.2020,03.07.2020,03.08.2020,03.09.2020,03.10.2020,03.11.2020,03.12.2020,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,04.01.2020,04.02.2020,04.03.2020,04.04.2020,04.05.2020,04.06.2020,04.07.2020,04.08.2020,04.09.2020,04.10.2020,04.11.2020,04.12.2020,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,05.01.2020,05.02.2020,05.03.2020,05.04.2020,05.05.2020,05.06.2020,05.07.2020,05.08.2020,05.09.2020,05.10.2020,05.11.2020,05.12.2020,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,06.01.2020,06.02.2020,06.03.2020,06.04.2020,06.05.2020,06.06.2020,06.07.2020,06.08.2020,06.09.2020,06.10.2020,06.11.2020,06.12.2020,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20
,Bolivia,-162.902,-635.887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,10,10,11,11,12,12,15,19,24,27,29,32,43,61,74,81,97,107,115,123,132,139,157,183,194,210,264,268,275,300,330,354,397,441,465,493,520,564,598,609,703,807,866,950,1014,1053,1110,1167,1229,1470,1594,1681,1802,1886,2081,2266,2437,2556,2831,2964,3148,3372,3577,3826,4088,4263,4481,4919,5187,5579,5915,6263,6660,7136,7768,8387,8731,9592,9982,10531,10991,11638,12245,12728,13358,13643,13949,14644,15281,16165,16929,17842,18459,19073,19883,20685,21499,22476,23512,24388,25493,26389,27487,28503,29423,30676,31524
Beni,Bolivia,-162.902,-635.887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,33,39,57,62,63,67,67,83,191,212,212,212,212,231,312,312,314,389,389,436,509,548,551,551,581,679,833,902,1015,1097,1097,1142,1242,1355,1506,1576,1707,1809,1885,1965,2101,2278,2428,2472,2511,2565,2692,2778,2809,2927,2944,2954,2962,2994,3128,3326,3473,3581,3613,3679,3785,3887,3920,3934,3975,4041
Cochabamba,Bolivia,-162.902,-635.887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,3,3,3,10,14,14,18,20,20,21,22,24,25,33,33,38,47,48,48,49,52,54,57,59,59,60,60,61,61,62,63,66,70,71,78,78,79,80,80,80,81,81,82,82,82,82,90,95,104,109,130,148,170,196,214,224,228,246,259,266,285,295,329,339,345,376,419,488,556,611,714,786,851,898,960,1022,1097,1162,1231,1297,1369,1441,1537,1723,1878,1915,2041,2179,2302,2360,2551,2612,2775,2920,2970,3233,3416,3468
La Paz,Bolivia,-162.902,-635.887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,4,8,8,10,13,14,16,16,19,20,23,32,37,39,57,57,59,65,73,80,91,101,120,120,126,133,134,137,140,150,155,159,168,185,188,202,218,221,236,241,243,253,260,271,294,301,309,313,316,319,322,328,333,335,342,355,363,375,381,386,394,403,410,415,423,444,478,507,555,614,635,661,692,737,754,776,804,842,932,983,1064,1149,1213,1254,1298,1386,1469,1545,1780,1918,1966,2161,2373,2580,2774,2882
Oruro,Bolivia,-162.902,-635.887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,11,13,14,30,37,38,42,45,45,49,49,59,62,65,65,79,92,92,102,102,107,111,111,111,113,113,115,116,121,124,125,129,129,133,133,134,136,138,139,139,142,144,144,149,150,152,154,158,165,189,203,209,217,221,237,246,255,259,273,287,304,333,357,368,377,388,399,419,442,458,468,487,598,674,698,720,791,793,877
Pando,Bolivia,-162.902,-635.887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,6,6,6,6,6,10,10,10,10,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,14,14,14,14,14,23,23,23,47,65,65,94,130,175,238,267,286,307,315,386,409,425,476,482,496,505,507,513,562,567,567
Potosi,Bolivia,-162.902,-635.887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,4,4,5,5,5,5,8,10,13,13,13,15,15,15,15,15,16,18,18,19,19,19,21,21,21,26,26,26,26,26,26,26,26,26,33,35,35,35,35,35,35,35,35,35,35,35,35,37,38,38,39,40,40,40,41,43,43,43,45,47,47,67,69,92,97,118,146,170,182,187,199,204,267,273,294,330,342,360,377,391,406,423,427,545,559,575,587,588,602,640
Santa Cruz,Bolivia,-162.902,-635.887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,3,4,4,6,8,9,15,16,18,24,34,42,44,52,59,64,68,70,74,88,97,100,103,127,130,134,147,163,177,190,215,218,237,255,290,317,324,371,385,446,489,525,553,587,615,656,693,806,904,979,1083,1160,1318,1387,1537,1633,1823,1925,2041,2163,2297,2518,2763,2894,2982,3241,3414,3665,3900,4199,4527,4888,5366,5774,5946,6542,6711,7018,7235,7637,7952,8144,8556,8676,8811,9224,9594,10127,10536,11154,11424,11741,12366,12725,12988,13539,14165,14499,15067,15442,15984,16555,16777,17455,17873
Chuquisaca,Bolivia,-162.902,-635.887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,5,6,6,11,11,14,15,15,15,15,15,15,16,17,17,17,19,19,19,21,21,22,22,25,25,25,25,26,28,29,31,32,38,39,39,43,43,61,74,85,100,102,117,129,134,185,196,253,301,301,382,422,470,524,578,637
Tarija,Bolivia,-162.902,-635.887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,6,6,6,9,10,10,10,13,13,13,13,13,13,13,13,14,17,18,20,20,21,21,21,24,26,34,34,39,39,42,46,51,60,60,67,70,71,79,89,114,114,125,151,177,193,208,241,248,277,301,333,395,434,516,539
